Function                                                     Tot Calls    CPU/Call  Calls/Tick    CPU/Tick   % of Tot
Sockpuppet:run                                                     242     10.56ms        0.99     10.47ms       16 %
StructurePlan:translatePosition                                 320460      0.01ms     1313.36      7.70ms       12 %
Builder:doBuildJob                                                 976      1.71ms        4.00      6.83ms       10 %
Sockpuppet:runCreeps                                               244      6.24ms        1.00      6.24ms        9 %
StructurePlan:translate                                           2405      0.52ms        9.86      5.09ms        8 %
Planner:createColonyPlan                                            47     25.23ms        0.19      4.86ms        7 %
Sockpuppet:runControl                                              244      3.55ms        1.00      3.55ms        5 %
Planner:planColony                                                  46     13.91ms        0.19      2.62ms        4 %
Builder:run                                                       1460      0.35ms        5.98      2.07ms        3 %
HaulerControl:run                                                  244      1.80ms        1.00      1.80ms        3 %
Hauler:run                                                         976      0.40ms        4.00      1.60ms        2 %
Harvester:run                                                      977      0.38ms        4.00      1.53ms        2 %
Harvester:harvestFromMySource                                      925      0.22ms        3.79      0.84ms        1 %
UnloadTask:work                                                    488      0.39ms        2.00      0.78ms        1 %
BuildControl:run                                                   244      0.54ms        1.00      0.54ms        1 %
Fixer:run                                                          440      0.28ms        1.80      0.51ms        1 %
BuildControl:requestSpawns                                         488      0.25ms        2.00      0.50ms        1 %
Builder:doRepairJob                                                484      0.24ms        1.98      0.48ms        1 %
Harvester:transferToLink                                           960      0.11ms        3.93      0.45ms        1 %
Sockpuppet:runRooms                                                244      0.45ms        1.00      0.45ms        1 %
Fixer:doRepairJob                                                  256      0.35ms        1.05      0.36ms        1 %
SupplyCreepTask:work                                               341      0.26ms        1.40      0.36ms        1 %

Planner:run                                                         22      3.51ms        0.09      0.32ms        0 %
Sockpuppet:runTowers                                               488      0.14ms        2.00      0.29ms        0 %
Logger:run                                                         242      0.29ms        0.99      0.29ms        0 %
SupplySpawnTask:work                                               115      0.61ms        0.47      0.29ms        0 %
Logger:logRoom                                                     484      0.14ms        1.98      0.27ms        0 %
Planner:planRoads                                                   46      1.31ms        0.19      0.25ms        0 %
Upgrader:run                                                       244      0.25ms        1.00      0.25ms        0 %
TowerWrapper:run                                                   488      0.12ms        2.00      0.25ms        0 %
UpgradeControl:run                                                 244      0.23ms        1.00      0.23ms        0 %
HarvestControl:run                                                 244      0.23ms        1.00      0.23ms        0 %
ReconControl:run                                                   244      0.23ms        1.00      0.23ms        0 %
RemoteControl:run                                                  244      0.22ms        1.00      0.22ms        0 %
Upgrader:buildRepairOrUpgrade                                      244      0.22ms        1.00      0.22ms        0 %
UpgradeControl:requestSpawns                                       488      0.10ms        2.00      0.21ms        0 %
